building_name,primary_usage
Speech and Hearing Building,Healthcare
Stallings Center,Education
State Oil and Gas Board Building,Public services
Stran-Hardin Arena,Entertainment/public assembly
Student Center,Entertainment/public assembly
Student Health Center,Healthcare
Student Recreation Center,Entertainment/public assembly
Student Services Center,Public services
Temple Tutwiler Hall,Office
Ten Hoor Hall,Education
Theta Chi,Lodging/residential
Tuomey Hall,Education
Tutwiler Hall,Lodging/residential
University Club,Entertainment/public assembly
University Early Childhood Development and Education Center,Education
University Hall,Education
University Medical Center,Healthcare
University Police Department,Public services
University Printing Services,Utility
University Supply Store at the Corner,Food sales and service
USGS Hydrologic Instrumentation Facility,Technology/science
Varsity Tennis Stadium,Entertainment/public assembly
Wade Hall,Education
Wilson Hall,Education
Woods Hall,Education
Zeta Beta Tau,Lodging/residential
Zeta Tau Alpha,Lodging/residential
